timestamp,portfolio_value,cash,TSLA_position,TSLA_vwap,TSLA_pred_bp,TSLA_signals,TSLA_decision,TSLA_action,NVDA_position,NVDA_vwap,NVDA_pred_bp,NVDA_signals,NVDA_decision,NVDA_action,AAPL_position,AAPL_vwap,AAPL_pred_bp,AAPL_signals,AAPL_decision,AAPL_action,META_position,META_vwap,META_pred_bp,META_signals,META_decision,META_action,PFE_position,PFE_vwap,PFE_pred_bp,PFE_signals,PFE_decision,PFE_action,PLTR_position,PLTR_vwap,PLTR_pred_bp,PLTR_signals,PLTR_decision,PLTR_action,UBER_position,UBER_vwap,UBER_pred_bp,UBER_signals,UBER_decision,UBER_action,BAC_position,BAC_vwap,BAC_pred_bp,BAC_signals,BAC_decision,BAC_action,V_position,V_vwap,V_pred_bp,V_signals,V_decision,V_action,NFLX_position,NFLX_vwap,NFLX_pred_bp,NFLX_signals,NFLX_decision,NFLX_action,return_pct,timestamp_str,current_cash,total_fees_paid,profit,pure_profit,total_shares_owned,active_positions,capital_utilization,drawdown_pct,total_trades
2025-01-13 10:10:00,497193.3535319995,497193.3535319995,0,383.4118,19.259658599692212,"P:1,M:0,R:0,B:0",Hold,Hold,0,131.8577,-4.910332031353242,"P:-1,M:0,R:0,B:0",Hold,Hold,0,233.8106,-0.7070944254663292,"P:0,M:0,R:0,B:0",Hold,Hold,0,611.0188,-15.499075580817737,"P:-1,M:0,R:-1,B:0",Hold,Hold,0,26.54,3.6303441867673474,"P:1,M:0,R:0,B:0",Hold,Hold,0,64.4946,-10.088455140528119,"P:-1,M:0,R:0,B:0",Hold,Hold,0,64.5927,8.154247058637267,"P:1,M:0,R:0,B:0",Hold,Hold,0,44.7807,-6.296810588881606,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,306.2988,-13.747488907788844,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,825.9066,-2.556771306677121,"P:-1,M:0,R:1,B:-1",Hold,Hold,-0.5613292936000973,2025-01-13 10:10,497193.3535319995,179.58446800000013,-2806.6464680004865,-2627.0620000004865,0,0,0.0,0.5613292936000973,0
2025-01-13 10:11:00,497193.3535319995,497193.3535319995,0,383.2508,16.271855558177528,"P:1,M:0,R:0,B:0",Hold,Hold,0,131.7551,-12.749986394620496,"P:-1,M:0,R:1,B:1",Hold,Hold,0,233.8106,-2.708659198606961,"P:-1,M:0,R:0,B:0",Hold,Hold,0,611.0188,-13.221565359364648,"P:-1,M:-1,R:-1,B:0",Hold,Hold,0,26.5302,8.774242548792019,"P:1,M:-1,R:0,B:0",Hold,Hold,0,64.5197,-14.037487124208813,"P:-1,M:0,R:0,B:0",Hold,Hold,0,64.5927,7.816436929019291,"P:1,M:1,R:0,B:0",Hold,Hold,0,44.7807,-6.296810588881606,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,306.2988,-13.747488907788844,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,825.9066,-2.556771306677121,"P:-1,M:0,R:1,B:-1",Hold,Hold,-0.5613292936000973,2025-01-13 10:11,497193.3535319995,179.58446800000013,-2806.6464680004865,-2627.0620000004865,0,0,0.0,0.5613292936000973,0
2025-01-13 10:12:00,497193.3535319995,497193.3535319995,0,383.3012,21.666599259521774,"P:1,M:-1,R:0,B:0",Hold,Hold,0,131.8047,-3.644172717640901,"P:-1,M:0,R:0,B:0",Hold,Hold,0,233.8106,-2.8026355035734594,"P:-1,M:0,R:0,B:0",Hold,Hold,0,611.0188,-13.231554439283302,"P:-1,M:0,R:-1,B:0",Hold,Hold,0,26.5302,13.356014581009667,"P:1,M:0,R:0,B:0",Hold,Hold,0,64.5587,-8.415342460984421,"P:-1,M:1,R:0,B:0",Hold,Hold,0,64.5927,8.138892052745542,"P:1,M:0,R:0,B:0",Hold,Hold,0,44.7807,-6.296810588881606,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,306.2988,-13.747488907788844,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,825.9066,-2.556771306677121,"P:-1,M:0,R:1,B:-1",Hold,Hold,-0.5613292936000973,2025-01-13 10:12,497193.3535319995,179.58446800000013,-2806.6464680004865,-2627.0620000004865,0,0,0.0,0.5613292936000973,0
2025-01-13 10:13:00,497189.1355319995,497193.3535319995,0,383.6394,20.484404135025017,"P:1,M:1,R:0,B:0",Hold,Hold,0,131.936,-26.683099576926086,"P:-1,M:0,R:0,B:0",Hold,Hold,0,233.966,-4.126195277505949,"P:-1,M:0,R:0,B:0",Hold,Hold,0,611.0188,-13.091707320422147,"P:-1,M:0,R:-1,B:0",Hold,Hold,0,26.5204,13.382542113733596,"P:1,M:0,R:1,B:1",Buy,Buy,0,64.5914,-13.473675587398137,"P:-1,M:0,R:0,B:0",Hold,Hold,0,64.5927,9.379104067077268,"P:1,M:0,R:0,B:0",Hold,Hold,0,44.7807,-6.296810588881606,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,306.2988,-13.747488907788844,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,825.9066,-2.556771306677121,"P:-1,M:0,R:1,B:-1",Hold,Hold,-0.562172893600096,2025-01-13 10:13,385326.0883319995,183.80246800000012,-2810.86446800048,-2627.0620000004797,4218,1,22.49909324352089,0.562172893600096,1
2025-01-13 10:14:00,497233.8463319995,385326.0883319995,0,383.5723,12.35022726647664,"P:1,M:0,R:0,B:0",Hold,Hold,0,131.9351,-8.017943250365565,"P:-1,M:1,R:0,B:0",Hold,Hold,0,233.966,-1.3994316849193125,"P:0,M:0,R:0,B:0",Hold,Hold,0,611.485,-12.846383956679455,"P:-1,M:0,R:-1,B:0",Hold,Hold,4218,26.531,-12.499692190120307,"P:-1,M:0,R:0,B:0",Hold,Hold,0,64.6168,-26.424621573718685,"P:-1,M:0,R:0,B:0",Hold,Hold,0,64.5158,4.023150339844277,"P:1,M:0,R:1,B:0",Hold,Hold,0,44.75,-6.924421427636173,"P:-1,M:-1,R:1,B:1",Hold,Hold,0,306.2988,-13.747488907788844,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,825.9066,-2.556771306677121,"P:-1,M:0,R:1,B:-1",Hold,Hold,-0.5532307336000958,2025-01-13 10:14,385326.0883319995,183.80246800000012,-2766.1536680004792,-2582.351200000479,4218,1,22.506062052195862,0.5532307336000958,1
2025-01-13 10:15:00,497313.5665319995,385326.0883319995,0,383.9218,17.586520569585552,"P:1,M:0,R:0,B:0",Hold,Hold,0,131.8257,-3.8777029684139257,"P:-1,M:0,R:0,B:0",Hold,Hold,0,234.1022,3.4403460459786146,"P:1,M:1,R:0,B:0",Hold,Hold,0,611.485,1.516943000441325,"P:0,M:0,R:-1,B:0",Hold,Hold,4218,26.5499,15.887468482475684,"P:1,M:0,R:0,B:0",Hold,Hold,0,64.5856,-23.168246219092293,"P:-1,M:0,R:0,B:0",Hold,Hold,0,64.4845,0.7543865616451172,"P:0,M:-1,R:1,B:0",Hold,Hold,0,44.75,0.35206032864874304,"P:0,M:0,R:1,B:1",Hold,Hold,0,306.2988,-13.747488907788844,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,825.9066,-2.556771306677121,"P:-1,M:0,R:1,B:-1",Hold,Hold,-0.5372866936000995,2025-01-13 10:15,385326.0883319995,183.80246800000012,-2686.4334680004977,-2502.6310000004974,4218,1,22.51848446060725,0.5372866936000995,1
2025-01-13 10:16:00,497379.7891319995,385326.0883319995,0,384.1778,1.664066386140333,"P:0,M:0,R:0,B:-1",Hold,Hold,0,131.7085,-7.187799845396204,"P:-1,M:-1,R:0,B:1",Hold,Hold,0,234.1799,-0.690631149786062,"P:0,M:0,R:0,B:0",Hold,Hold,0,611.5119,4.096243044800621,"P:1,M:0,R:-1,B:0",Hold,Hold,4218,26.5656,5.959715771259447,"P:1,M:1,R:0,B:0",Hold,Hold,0,64.5365,-22.48763402662699,"P:-1,M:0,R:0,B:0",Hold,Hold,0,64.4845,8.076816409733611,"P:1,M:0,R:1,B:0",Hold,Hold,0,44.75,0.35206032864874304,"P:0,M:0,R:1,B:1",Hold,Hold,0,306.2988,-13.747488907788844,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,826.9873,1.937417571663377,"P:0,M:1,R:1,B:-1",Hold,Hold,-0.5240421736001037,2025-01-13 10:16,385326.0883319995,183.80246800000012,-2620.2108680005185,-2436.408400000518,4218,1,22.528800576225684,0.5240421736001037,1
2025-01-13 10:17:00,497378.0531319995,385326.0883319995,0,383.7061,-10.126620338049545,"P:-1,M:0,R:0,B:0",Hold,Hold,0,131.6873,0.7660340300474412,"P:0,M:0,R:0,B:1",Hold,Hold,0,234.0979,-2.002350699216433,"P:-1,M:0,R:0,B:0",Hold,Hold,0,611.0275,2.5975633129232016,"P:1,M:0,R:0,B:0",Hold,Hold,4218,26.5656,0.9963416714338024,"P:0,M:0,R:0,B:0",Hold,Hold,0,64.5332,-16.37831485745805,"P:-1,M:0,R:0,B:0",Hold,Hold,0,64.4038,2.63711094407897,"P:1,M:0,R:1,B:1",Buy,Buy,0,44.75,0.559204783519553,"P:0,M:0,R:1,B:0",Hold,Hold,0,306.2988,-13.747488907788844,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,826.9873,-3.405270231326463,"P:-1,M:0,R:1,B:-1",Hold,Hold,-0.5243893736000987,2025-01-13 10:17,273519.3555319995,185.5384680000001,-2621.946868000494,-2436.4084000004937,5954,2,45.00775540664839,0.5243893736000987,2
2025-01-13 10:18:00,497370.1227319995,273519.3555319995,0,383.4609,5.088024864465164,"P:1,M:0,R:0,B:0",Hold,Hold,0,131.5421,-19.406755859317464,"P:-1,M:0,R:1,B:1",Hold,Hold,0,233.9723,-2.129083162301262,"P:-1,M:0,R:0,B:0",Hold,Hold,0,611.0011,-15.086966816118684,"P:-1,M:0,R:0,B:0",Hold,Hold,4218,26.5751,1.8251418213299315,"P:0,M:0,R:0,B:0",Hold,Hold,0,64.4763,-11.925865301595485,"P:-1,M:0,R:0,B:0",Hold,Hold,1736,64.3769,2.459067288207225,"P:1,M:0,R:1,B:1",Pyramid,Pyramid,0,44.75,0.559204783519553,"P:0,M:0,R:1,B:0",Hold,Hold,0,306.2988,-13.747488907788844,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,826.9873,3.2378480052685847,"P:1,M:0,R:1,B:-1",Hold,Hold,-0.5259754536001012,2025-01-13 10:18,189634.95183199947,186.8414680000001,-2629.877268000506,-2443.035800000506,7257,2,61.87246817513776,0.5259754536001012,3
2025-01-13 10:19:00,497370.1227319995,189634.95183199947,0,383.3314,13.027370815354582,"P:1,M:-1,R:0,B:0",Hold,Hold,0,131.5588,-16.41821337089316,"P:-1,M:0,R:1,B:1",Hold,Hold,0,233.9914,-0.21218999828887844,"P:0,M:0,R:0,B:0",Hold,Hold,0,611.0011,-13.929198915312123,"P:-1,M:0,R:0,B:0",Hold,Hold,4218,26.5751,-3.0051151857286027,"P:-1,M:0,R:0,B:0",Hold,Hold,0,64.4436,-5.746042342403442,"P:-1,M:-1,R:0,B:0",Hold,Hold,3039,64.3769,-0.9718368354720373,"P:0,M:0,R:1,B:1",Hold,Hold,0,44.75,0.559204783519553,"P:0,M:0,R:1,B:0",Hold,Hold,0,306.2988,-13.747488907788844,"P:-1,M:0,R:1,B:-1",Hold,Hold,0,826.9873,3.8880632220711884,"P:1,M:0,R:1,B:0",Hold,Hold,-0.5259754536001012,2025-01-13 10:19,189634.95183199947,186.8414680000001,-2629.877268000506,-2443.035800000506,7257,2,61.87246817513776,0.5259754536001012,3
